Player,Team,Comb,Asst,Solo,Sck
Jarran Reed,Seattle Seahawks,27,15,10,2.0
Darius Slay,Philadelphia Eagles,27,5,19,0.0
Anthony Walker,Miami Dolphins,27,15,10,0.0
Garrett Williams,Arizona Cardinals,27,7,17,0.0
Jakorian Bennett,Las Vegas Raiders,26,11,14,0.0
Mohamoud Diabate,Cleveland Browns,26,13,8,0.0
Yaya Diaby,Tampa Bay Buccaneers,26,8,15,2.0
Braden Fiske,Los Angeles Rams,26,15,8,3.0
Shelby Harris,Cleveland Browns,26,15,8,1.5
Jevon Holland,Miami Dolphins,26,8,17,0.0
Khalil Mack,Los Angeles Chargers,26,14,10,4.5
Marte Mapu,New England Patriots,26,15,10,0.5
Azeez Ojulari,New York Giants,26,14,12,6.0
Malcolm Rodriguez,Detroit Lions,26,10,15,2.0
Jeffery Simmons,Tennessee Titans,26,11,13,3.0
Dante Stills,Arizona Cardinals,26,16,8,3.5
Eric Stokes,Green Bay Packers,26,7,16,0.0
Shy Tuttle,Carolina Panthers,26,14,12,0.0
Josh Hines-Allen,Jacksonville Jaguars,25,11,9,5.0
Krys Barnes,Arizona Cardinals,25,9,14,2.0
Beanie Bishop Jr.,Pittsburgh Steelers,25,5,18,0.5
Bobby Brown III,Los Angeles Rams,25,20,5,0.0
Damone Clark,Dallas Cowboys,25,10,12,0.5
Derick Hall,Seattle Seahawks,25,10,14,5.0
DaVon Hamilton,Jacksonville Jaguars,25,13,11,0.0
Trey Hendrickson,Cincinnati Bengals,25,4,17,11.0
Elijah Hicks,Chicago Bears,25,10,12,0.0
Daxton Hill,Cincinnati Bengals,25,5,16,1.0
Michael Hoecht,Los Angeles Rams,25,14,7,3.0
John Jenkins,Las Vegas Raiders,25,19,3,1.0
DJ Johnson,Carolina Panthers,25,16,8,0.5
Isaiah Oliver,New York Jets,25,7,17,1.0
Charles Snowden,Las Vegas Raiders,25,15,8,1.5
DJ Turner II,Cincinnati Bengals,25,3,21,0.0
Sean Murphy-Bunting,Arizona Cardinals,24,12,9,0.0
Gervon Dexter Sr.,Chicago Bears,24,11,10,4.0
Leonard Floyd,San Francisco 49ers,24,14,7,3.0
Rashan Gary,Green Bay Packers,24,12,9,2.5
Jordan Hicks,Cleveland Browns,24,10,9,1.0
Donte Jackson,Pittsburgh Steelers,24,8,15,0.0
Javon Kinlaw,New York Jets,24,7,14,1.5
Anfernee Orji,New Orleans Saints,24,9,12,0.0
Demani Richardson,Carolina Panthers,24,8,15,0.0
Amik Robertson,Detroit Lions,24,3,21,0.0
James Smith-Williams,Atlanta Falcons,24,12,9,1.0
Grant Stuard,Indianapolis Colts,24,9,8,0.0
Jadeveon Clowney,Carolina Panthers,23,12,9,1.0
Cobie Durant,Los Angeles Rams,23,8,13,1.0
Arnold Ebiketie,Atlanta Falcons,23,8,12,1.0
Myles Garrett,Cleveland Browns,23,2,17,7.0
Jonathan Greenard,Minnesota Vikings,23,6,15,7.0
B.J. Hill,Cincinnati Bengals,23,13,8,0.0
Tyrice Knight,Seattle Seahawks,23,8,13,0.0
Boye Mafe,Seattle Seahawks,23,8,12,4.0
Osa Odighizuwa,Dallas Cowboys,23,11,11,0.5
David Onyemata,Atlanta Falcons,23,12,10,1.0
Odafe Oweh,Baltimore Ravens,23,8,14,4.5
Jabrill Peppers,New England Patriots,23,12,10,0.0
LaBryan Ray,Carolina Panthers,23,12,9,1.0
Malcolm Roach,Denver Broncos,23,11,9,0.5
Nathan Shepherd,New Orleans Saints,23,13,9,0.5
Za'Darius Smith,Cleveland Browns,23,8,13,5.0
L'Jarius Sneed,Tennessee Titans,23,4,18,0.0
T'Vondre Sweat,Tennessee Titans,23,12,7,0.0
Tuli Tuipulotu,Los Angeles Chargers,23,9,13,3.5
Nik Bonitto,Denver Broncos,22,8,11,6.0
Caelen Carson,Dallas Cowboys,22,2,19,0.0
