Player,Team,FF,FR,FR TD
Dee Alford,Atlanta Falcons,0,0,0
Jaylan Ford,New Orleans Saints,0,0,0
Mike Ford,Cleveland Browns,0,0,0
Poona Ford,Los Angeles Chargers,0,0,0
Bryce Ford-Wheaton,New York Giants,0,0,0
Darrick Forrest,Washington Commanders,0,0,0
Isaiah Foskey,New Orleans Saints,0,0,0
Leki Fotu,New York Jets,0,0,0
Morgan Fox,Los Angeles Chargers,0,0,0
Tomon Fox,New York Giants,0,0,0
Mitchell Fraboni,Denver Broncos,0,0,0
John Franklin-Myers,Denver Broncos,0,0,0
Feleipe Franks,Carolina Panthers,0,1,0
Jordan Fuller,Carolina Panthers,0,0,0
Kendall Fuller,Miami Dolphins,0,0,0
Kristian Fulton,Los Angeles Chargers,0,0,0
Amari Gainer,Las Vegas Raiders,0,0,0
Greg Gaines,Tampa Bay Buccaneers,0,0,0
Neville Gallimore,Los Angeles Rams,0,0,0
Sauce Gardner,New York Jets,0,0,0
C.J. Gardner-Johnson,Philadelphia Eagles,0,0,0
Rashan Gary,Green Bay Packers,0,0,0
Ali Gaye,Tennessee Titans,0,0,0
Joe Gaziano,Jacksonville Jaguars,0,0,0
William Gholston,Tampa Bay Buccaneers,0,0,0
Jack Gibbens,Tennessee Titans,0,0,0
Luke Gifford,Tennessee Titans,0,0,0
Joe Giles-Harris,New England Patriots,0,0,0
Blake Gillikin,Arizona Cardinals,0,0,0
Cam Gill,Carolina Panthers,0,0,0
Reggie Gilliam,Buffalo Bills,0,0,0
Alohi Gilman,Los Angeles Chargers,0,0,0
Stephon Gilmore,Minnesota Vikings,0,0,0
Kevin Givens,San Francisco 49ers,0,0,0
Davon Godchaux,New England Patriots,0,0,0
Chris Godwin,Tampa Bay Buccaneers,0,0,0
Dallas Goedert,Philadelphia Eagles,0,0,0
Eddie Goldman,Atlanta Falcons,0,0,0
Chauncey Golston,Dallas Cowboys,0,0,0
Christian Gonzalez,New England Patriots,0,0,0
Tyler Goodson,Indianapolis Colts,0,0,0
C.J. Goodwin,Dallas Cowboys,0,0,0
Kyler Gordon,Chicago Bears,0,2,0
Adam Gotsis,Indianapolis Colts,0,0,0
Ta'Quon Graham,Atlanta Falcons,0,0,0
Kylen Granson,Indianapolis Colts,0,0,0
Richie Grant,Atlanta Falcons,0,0,0
Art Green,New York Giants,0,0,0
Mike Greene,Tampa Bay Buccaneers,0,0,0
Shaq Thompson,Carolina Panthers,0,0,0
Antonio Grier Jr.,Tampa Bay Buccaneers,0,0,0
Shaquill Griffin,Minnesota Vikings,0,0,0
Yetur Gross-Matos,San Francisco 49ers,0,0,0
Kamu Grugier-Hill,Minnesota Vikings,0,0,0
Blake Grupe,New Orleans Saints,0,0,0
Isaac Guerendo,San Francisco 49ers,0,0,0
Lawrence Guy,Cincinnati Bengals,0,0,0
Troy Hairston,Houston Texans,0,0,0
Darren Hall,Arizona Cardinals,0,0,0
Logan Hall,Tampa Bay Buccaneers,0,1,0
Mike Hall Jr.,Cleveland Browns,0,0,0
C.J. Ham,Minnesota Vikings,0,0,0
Antonio Hamilton,Atlanta Falcons,0,0,0
DaVon Hamilton,Jacksonville Jaguars,0,0,0
Damar Hamlin,Buffalo Bills,0,0,0
Nick Hampton,Los Angeles Rams,0,0,0
Da'Shawn Hand,Miami Dolphins,0,0,0
Johnathan Hankins,Seattle Seahawks,0,0,0
Jake Hansen,Houston Texans,0,0,0
Will Harris,New Orleans Saints,0,0,0
Javon Hargrave,San Francisco 49ers,0,0,0
Thomas Harper,Las Vegas Raiders,0,0,0
Jaylen Harrell,Tennessee Titans,0,0,0
Charles Harris,Carolina Panthers,0,0,0
Demone Harris,Atlanta Falcons,0,0,0
Jonathan Harris,Carolina Panthers,0,0,0
Malik Harrison,Baltimore Ravens,0,0,0
Zach Harrison,Atlanta Falcons,0,0,0
Hassan Haskins,Los Angeles Chargers,0,0,0
Hogan Hatten,Detroit Lions,0,0,0
Jaylinn Hawkins,New England Patriots,0,1,0
Tre Hawkins III,New York Giants,0,0,0
Josh Hayes,Tampa Bay Buccaneers,0,1,0
Marquis Haynes,Carolina Panthers,0,0,0
Malik Heath,Green Bay Packers,0,0,0
Bruce Hector,New York Jets,0,0,0
Peyton Hendershot,Kansas City Chiefs,0,0,0
Daiyan Henley,Los Angeles Chargers,0,0,0
Thomas Hennessy,New York Jets,0,0,0
KJ Henry,Dallas Cowboys,0,0,0
Khalil Herbert,Chicago Bears,0,0,0
Malik Herring,Kansas City Chiefs,0,0,0
Cameron Heyward,Pittsburgh Steelers,0,0,0
Connor Heyward,Pittsburgh Steelers,0,0,0
Ronnie Hickman Jr.,Cleveland Browns,0,1,0
Elijah Hicks,Chicago Bears,0,2,0
Faion Hicks,Seattle Seahawks,0,0,0
Jaden Hicks,Kansas City Chiefs,0,0,0
Jordan Hicks,Cleveland Browns,0,0,0
Alex Highsmith,Pittsburgh Steelers,0,0,0
B.J. Hill,Cincinnati Bengals,0,0,0
Daxton Hill,Cincinnati Bengals,0,0,0
Jamal Hill,Houston Texans,0,0,0
Julian Hill,Miami Dolphins,0,0,0
Troy Hill,Carolina Panthers,0,0,0
Mike Hilton,Cincinnati Bengals,0,0,0
Kurt Hinish,Houston Texans,0,0,0
Nate Hobbs,Las Vegas Raiders,0,0,0
KhaDarel Hodge,Atlanta Falcons,0,1,1
Michael Hoecht,Los Angeles Rams,0,0,0
