Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Kyle Trask,-2,2,0,0,0,-1,0,0.0,0
Kirk Cousins,-3,18,0,0,0,13,1,5.6,3
Cade Otton,-4,1,0,0,0,-4,0,0.0,0
Clayton Tune,-4,4,0,0,0,2,1,25.0,1
Christian Watson,-4,1,0,0,0,-4,0,0.0,0
Jha'Quan Jackson,-5,1,0,0,0,-5,0,0.0,0
Cedric Tillman,-5,1,0,0,0,-5,0,0.0,0
Mitchell Trubisky,-6,6,0,0,0,-1,0,0.0,0
Tyson Bagent,-7,6,0,0,0,-1,0,0.0,0
Matthew Stafford,-7,7,0,0,0,0,0,0.0,1
George Pickens,-10,1,0,0,0,-10,0,0.0,0
